region,rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_range
others,10000,2010,ford,escape,excellent,6,gas,automatic,4wd,sedan,50k-100k
central NJ,10000,2012,bmw,328 xi,excellent,6,gas,automatic,4wd,sedan,100k-150k
long island,20000,2017,mercedes-benz,e-class,excellent,5,gas,automatic,4wd,sedan,20k-50k
others,40000,2017,toyota,tundra sr5 4x4 1/2 ton,good,5,gas,automatic,4wd,truck,20k-50k
others,26000,2017,ford,mustang v6 convertible 2d,good,6,gas,other,rwd,convertible,0-20k
others,18000,2014,dodge,durango limited,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,16000,2018,kia,soul wagon 4d,good,5,gas,other,fwd,wagon,20k-50k
jacksonville,33000,2011,bmw,z4 sdrive35is roadster 2d,good,5,other,other,rwd,other,20k-50k
denver,8000,2009,bmw,328i,good,5,gas,automatic,4wd,sedan,100k-150k
others,14000,2015,nissan,altima,good,4,gas,automatic,fwd,sedan,50k-100k
orlando,20000,2011,chevrolet,cruze,good,5,gas,automatic,4wd,sedan,150k-200k
others,7000,2003,ford,f150 xlt supercrew 4x4,good,8,gas,automatic,4wd,truck,150k-200k
oklahoma city,4000,2005,gmc,envoy,excellent,6,gas,automatic,rwd,SUV,150k-200k
others,53000,2019,chevrolet,silverado 2500hd,excellent,8,diesel,automatic,4wd,SUV,20k-50k
others,20000,2020,others,sport,good,8,gas,automatic,4wd,SUV,0-20k
others,30000,2016,ford,f150 super cab xl pickup 4d,good,6,gas,other,4wd,pickup,20k-50k
san diego,20000,2020,kia,soul gt-line,good,4,gas,automatic,fwd,hatchback,50k-100k
others,20000,2001,others,f-150,fair,5,gas,automatic,4wd,truck,0-20k
others,20000,2006,ford,f550,good,5,diesel,other,4wd,other,0-20k
milwaukee,9000,2013,dodge,grand caravan,excellent,5,gas,automatic,fwd,mini-van,100k-150k
oklahoma city,35000,2014,ram,2500 slt,excellent,5,diesel,automatic,4wd,sedan,100k-150k
pittsburgh,11000,2007,gmc,yukon xl,good,5,gas,automatic,4wd,other,150k-200k
reno / tahoe,32000,2018,dodge,charger,good,5,other,automatic,4wd,sedan,20k-50k
others,12000,2018,ford,fiesta se,excellent,5,gas,automatic,4wd,sedan,20k-50k
tampa bay area,22000,2018,others,cx-5 sport suv 4d,good,5,gas,other,fwd,other,20k-50k
others,4000,2005,ford,MB ML320,good,6,gas,automatic,4wd,SUV,100k-150k
others,10000,2013,chevrolet,equinox,excellent,5,gas,automatic,fwd,SUV,100k-150k
los angeles,29000,2018,toyota,tacoma,good,4,gas,automatic,rwd,pickup,0-20k
charlotte,33000,2018,ram,1500 quad cab harvest pickup,good,6,gas,other,4wd,pickup,20k-50k
others,7000,2005,ram,hemi 4x4 crew,good,8,gas,automatic,4wd,pickup,150k-200k
others,4000,2004,cadillac,deville basesedan,excellent,8,gas,automatic,4wd,other,100k-150k
denver,38000,2019,lexus,rx 350 sport utility 4d,good,5,other,other,4wd,other,0-20k
others,6000,2005,ram,1500,excellent,6,gas,automatic,rwd,truck,100k-150k
others,31000,2016,toyota,tacoma,good,5,gas,automatic,4wd,pickup,100k-150k
others,13000,2014,ford,mustang,excellent,6,gas,automatic,rwd,convertible,50k-100k
others,20000,1996,others,xj6 vanden plas,good,5,gas,other,4wd,sedan,100k-150k
others,14000,2011,chevrolet,tahoe,good,5,other,automatic,4wd,SUV,100k-150k
others,20000,2012,chevrolet,silverado 1500,good,6,gas,automatic,4wd,pickup,50k-100k
others,30000,2019,others,mx-5 miata grand touring,good,5,gas,other,rwd,other,0-20k
others,20000,1992,chevrolet,f-150,good,6,gas,manual,rwd,pickup,200k-300k
rochester,50000,2018,bmw,x5 xdrive50i sport utility,good,8,gas,automatic,4wd,other,20k-50k
columbus,32000,2020,hyundai,santa fe 2.4 limited,good,5,gas,other,fwd,SUV,0-20k
others,16000,2016,ford,transit connect,good,5,gas,automatic,4wd,van,50k-100k
others,19000,2018,hyundai,sonata se sedan 4d,good,5,gas,other,fwd,sedan,20k-50k
others,20000,2006,others,xc70 cross country,good,5,gas,automatic,4wd,SUV,200k-300k
colorado springs,20000,2015,ram,3500,good,5,gas,automatic,4wd,pickup,50k-100k
others,4000,2007,nissan,murano,good,5,gas,automatic,4wd,sedan,150k-200k
others,9000,2005,ford,International 4400,excellent,5,diesel,automatic,4wd,truck,400k-500k
