rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,state,odometer_range
7000,2008,others,cx-7,good,4,gas,automatic,4wd,SUV,or,100k-150k
22000,2018,others,encore essence sport,good,5,gas,other,fwd,other,mi,0-20k
8000,2004,toyota,4runner sr5,excellent,6,gas,automatic,rwd,SUV,ny,50k-100k
20000,2015,jeep,wrangler unlimited sport,excellent,6,gas,automatic,4wd,SUV,tn,100k-150k
20000,2009,chevrolet,silverado 1500 crew cab,good,8,gas,automatic,4wd,pickup,ak,150k-200k
14000,2013,ford,e350 super duty cutaway,good,8,other,automatic,4wd,other,il,150k-200k
18000,2007,volkswagen,rabbit,good,5,gas,manual,4wd,hatchback,nj,150k-200k
32000,2018,ram,1500 st 4x4 half ton,good,5,gas,automatic,4wd,truck,wa,20k-50k
21000,2017,kia,sportage,good,5,gas,automatic,fwd,sedan,hi,20k-50k
18000,2011,ford,f650,good,6,diesel,automatic,rwd,truck,ca,150k-200k
9000,2008,lexus,ls,excellent,5,gas,automatic,rwd,sedan,ca,200k-300k
45000,2017,jeep,wrangler unlimited,excellent,6,gas,automatic,4wd,SUV,oh,20k-50k
23000,2014,ford,f150 4x4,excellent,8,gas,automatic,4wd,truck,co,100k-150k
30000,1977,ford,f250 ranger,good,5,gas,manual,4wd,sedan,nc,50k-100k
13000,2004,ford,f-450sd,good,5,gas,automatic,rwd,truck,tn,20k-50k
21000,2008,ford,super duty f-350 srw,good,8,gas,automatic,4wd,sedan,ky,100k-150k
16000,2015,honda,pilot,good,6,gas,automatic,4wd,SUV,ia,50k-100k
28000,2018,bmw,3 series 330i xdrive sedan,good,5,other,other,4wd,sedan,wv,20k-50k
13000,2002,chevrolet,silverado 2500hd,good,8,diesel,automatic,4wd,pickup,il,150k-200k
8000,2012,kia,sorento lx,good,6,gas,automatic,fwd,SUV,nj,100k-150k
16000,2015,lexus,rx 350,excellent,5,gas,automatic,fwd,SUV,fl,100k-150k
