region,price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_bins
others,43275,2018,gmc,sierra 1500,good,8,gas,automatic,4wd,truck,50k-100k
others,8450,2007,acura,tl type-s,good,6,gas,automatic,fwd,sedan,150k-200k
new york city,9800,2010,gmc,yukon denali,excellent,5,gas,automatic,4wd,sedan,150k-200k
others,26995,2013,gmc,sierra 2500hd,like new,8,diesel,automatic,4wd,pickup,100k-150k
others,9995,2013,ford,fusion se,good,5,gas,automatic,4wd,sedan,100k-150k
others,13995,2002,mercedes-benz,benz cl 500 amg,excellent,8,gas,automatic,rwd,coupe,50k-100k
others,26995,1998,others,firebird,good,8,gas,manual,rwd,coupe,50k-100k
spokane / coeur d'alene,44999,2016,ford,lifted f150 lariat sport,good,5,gas,automatic,4wd,truck,20k-50k
others,21518,2007,chevrolet,impala lt,excellent,6,diesel,automatic,4wd,other,100k-150k
others,16990,2012,lexus,ct 200h premium hatchback,good,5,hybrid,other,fwd,hatchback,50k-100k
san diego,19581,2019,toyota,corolla,excellent,4,gas,automatic,4wd,sedan,20k-50k
others,33590,2020,lexus,nx 300 sport utility 4d,good,5,gas,other,fwd,hatchback,0-20k
others,27999,2016,lexus,nx 200t,excellent,5,gas,automatic,4wd,wagon,20k-50k
SF bay area,19581,1993,others,j30,like new,6,gas,automatic,rwd,sedan,150k-200k
SF bay area,13500,2006,toyota,tundra sr5 double cab 4wd,excellent,8,gas,automatic,4wd,truck,200k-300k
others,12500,2015,ford,2015 370z,excellent,5,gas,manual,4wd,sedan,100k-150k
others,11900,2014,bmw,x1 sdrive28i,like new,4,gas,automatic,rwd,SUV,50k-100k
cincinnati,19995,2003,chevrolet,corvette,good,8,gas,automatic,4wd,sedan,20k-50k
others,19581,2004,gmc,envoy,good,5,gas,automatic,fwd,SUV,200k-300k
pittsburgh,28590,2016,mercedes-benz,e-class e 400,good,6,gas,automatic,4wd,coupe,20k-50k
others,25995,2014,chevrolet,tahoe ltz,good,8,gas,automatic,4wd,sedan,100k-150k
